Incident Name,Claim Type,Claim Number,PDF Link,Determination Date,Responsible Party,Amount of Oil Released,Trustees,Number of Trustees,Description of the Event,Description of Injury Determination and Quantification,Biological Effects,Amount of Money Owed by the RP from this claim,Notes
Deepwater Horizon,Assessment,N10036-OC18,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OC18%20NR%20Third%20Partial%20Paid_Redacted.pdf,2014/03/07,"BP Exploration & Production, Inc. (BP)",210 million gallons,"National Oceanic and Atmospheric Administration (NOAA),Department of the Interior, Fish and Wildlife Service (FWS),Louisiana,Mississippi,Alabama,Florida,Texas",7,"On April 20, 2010, the Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging an estimated 210 million gallons of oil into the Gulf of Mexico until the well was capped on July 15, 2010. Responders to the discharge dispensed approximately 1.84 million gallons of dispersants to keep, or delay, the oil from reaching sensitive shorelines.","The trustees have continued to work together to develop and implement assessment plans to determine the nature and extent of these losses. For 2014, NOAA claims $14,564,968 under four separate activities (A1-A4, below) for additional surveys and analyses of samples from the three habitat types and associated fauna. In 2014, NOAA plans to further analyze 2011 data and estimate total injury.","By the August-September 2010 period, the trustees observed over 950 miles of oiled shoreline habitat, 400 oiled sea turtles, and over 1,500 oiled birds; and identified numerous other natural resources at risk to include fish, marine mammals, oysters, and associated habitats. Chronic, sublethal effects that are consistent with oil exposure are still being detected in live and dead dolphins in 2013 within the footprint of the spill. Initial findings show a significantly higher number of observed marine mammal carcasses on Gulf beaches from April 2010 through May 2013, with histopathology evaluations of 2013 strandings from Mississippi and Louisiana indicating adrenal abnormalities, bronchopneumonia, Brucella sp. infections, chronic lung disease and other long-term health issues associated with oil exposure.","$23,305,087",
Deepwater Horizon,Assessment,N10036-OC18,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OC18%20NR%20Fourth%20Partial%20Paid_Redacted.pdf,2014/04/17,"BP Exploration & Production, Inc. (BP)",210 million gallons,"National Oceanic and Atmospheric Administration (NOAA),Department of the Interior, Fish and Wildlife Service (FWS),Louisiana,Mississippi,Alabama,Florida,Texas",7,"On April 20, 2010, the Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging an estimated 210 million gallons of oil into the Gulf of Mexico until the well was capped on July 15, 2010.","NOAA is assessing potential injuries to oysters by measuring abundance and biomass, evaluating reproductive condition, and estimating larval recruitment in nearshore and subtidal waters affected by Deepwater Horizon oil.  NOAA has also undertaken laboratory assessment of oil toxicity, which has shown that very low concentrations of oil kill oyster larvae, prevent normal fertilization from occurring, and produce developmental abnormalities in embryos and free-swimming larvae that ultimately lead to death. Tens of thousands of samples were collected during assessment activities in 2010 and 2011 of oil, sediments, tissues, and water; and spanned across all resource areas (i.e., offshore, nearshore, and shoreline). In 2014, NOAA plans to analyze approximately 2,850 offshore sediment and biota samples, 700 shoreline sediment samples, 620 archived sargassum samples, 1,877 nearshore sediment and biota samples, and 1,450 forensic oil and contaminant samples (7,497 total samples).","Over 950 miles of oiled shoreline habitat, 400 oiled sea turtles, and over 1,500 oiled birds were observed. Reduced adult and juvenile oyster abundance and spat recruitment across the full spatial footprint of the Deepwater Horizon oiling area. Very low concentrations of oil kill oyster larvae, prevent normal fertilization from occurring, and produce developmental abnormalities in embryos and free-swimming larvae that ultimately lead to death.","27,058,569",
Deepwater Horizon,Assessment,N10036-OC18,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OC18%20NR%20Fifth%20Partial%20Paid_Redacted.pdf,2014/04/24,"BP Exploration & Production, Inc. (BP)",210 million gallons,"National Oceanic and Atmospheric Administration (NOAA),Department of the Interior, Fish and Wildlife Service (FWS),Louisiana,Mississippi,Alabama,Florida,Texas",7,"On April 20, 2010, the Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging an estimated 210 million gallons of oil into the Gulf of Mexico until the well was capped on July 15, 2010.","The trustees initiated an assessment of natural resource damages resulting from the discharges and response to discharges of oil. They observed over 950 miles of oiled shoreline habitat, 400 oiled sea turtles, and over 1,500 oiled birds. Numerous other natural resources at risk including fish, marine mammals, oysters, and associated habitats were identified. The trustees continue to work together to develop and implement assessment plans to determine the nature and extent of these losses.","Oiled shoreline habitat, oiled sea turtles, oiled birds, fish, marine mammals, oysters, and associated habitats were identified.","$14,620,918",
Deepwater Horizon,Assessment,N10036-OC27,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OC27%20NRD%20Paid_Redacted.pdf,2015/04/03,"BP Exploration & Production, Inc. (BP)",3.19 million barrels,"Department of Commerce, National Oceanic and Atmospheric Administration (NOAA),Department of the Interior, Fish and Wildlife Service (FWS),Environmental Protection Agency (EPA),Department of Agriculture (USDA),Louisiana,Mississippi,Alabama,Florida,Texas",9,"On April 20, 2010, the Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging an estimated 3.19 million barrels of oil into the Gulf of Mexico (GOM) until the well was capped on July 15, 2010.","The trustees initiated an assessment of natural resource damages resulting from the discharges and response to discharges of oil. By September 2010, the trustees observed over 950 miles of oiled shoreline habitat, 400 oiled sea turtles, and 1,500 oiled birds. Numerous other natural resources at risk, including fish, marine mammals, oysters, and aquatic habitats, were identified. The trustees continue to work together to develop and implement plans to assess the nature and extent of these losses and appropriate restoration alternatives.","Oiled shoreline habitat, oiled sea turtles, oiled birds, injuries to fish, marine mammals, oysters, and aquatic habitats.","$28,994,300",
Deepwater Horizon,Assessment,N10036-OC30,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OC30%20NRD%20Paid_Redacted.pdf,2015/07/23,"BP Exploration & Production, Inc. (BP)",3.19 million barrels,"Department of Commerce, National Oceanic and Atmospheric Administration (NOAA),Department of the Interior, Fish and Wildlife Service (FWS),Environmental Protection Agency (EPA),Department of Agriculture (USDA),Louisiana,Mississippi,Alabama,Florida,Texas",9,"On April 20, 2010, the Deepwater Horizon mobile offshore drilling unit exploded and sank, discharging an estimated 3.19 million barrels of oil into the Gulf of Mexico (GOM) until the well was capped on July 15, 2010. Responders to the discharge applied approximately 1.84 million gallons of dispersants to keep, or delay, the oil from reaching sensitive shorelines.",The trustees initiated an assessment of natural resource damages resulting from the discharges and response to discharges of oil. The trustees continue to work together to develop and implement plans to assess the nature and extent of these losses and appropriate restoration alternatives.,"By September 2010, the trustees observed over 950 miles of oiled shoreline habitat, 400 oiled sea turtles, and 1,500 oiled birds. Numerous other natural resources at risk, including fish, marine mammals, oysters, and aquatic habitats, were identified.","$72,541,800",
Texas City Y Oil Spill Assessment,Assessment,N14026-OC01,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N14026-OC01_Redacted.pdf,2015/12/08,BP Exploration & Production Inc. (BP),Approximately 3.19 million barrels of oil,"U.S. Department of the Interior,National Oceanic and Atmospheric Administration,U.S. Environmental Protection Agency,U.S. Department of Agriculture,State of Louisiana,State of Mississippi,State of Alabama,State of Florida,State of Texas",9,"The Deepwater Horizon (DWH) MC252 oil spill, which began on April 20, 2010, with an explosion on the DWH mobile offshore drilling unit and continued until the well was capped on July 15, 2010.","Injury determination involved identifying the pathways of exposure, identifying the resources potentially exposed, and determining whether exposure resulted in an adverse effect. Quantification of injury involved determining the spatial and temporal extent of the injury and scaling the injury to a common metric for restoration planning.","Observed injuries included mortality and sublethal effects on various species of birds, sea turtles, marine mammals, fish, oysters, benthic invertebrates, and plankton.",,
Oregon/Washington Coast Mystery Spill,Assessment,S99028-OI01,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/S99028-OI01%20NR%20Paid_Redacted.pdf,2016/03/24,BP Exploration & Production Inc. (BP),Approximately 4.9 million barrels of oil,"U.S. Department of the Interior,National Oceanic and Atmospheric Administration,U.S. Environmental Protection Agency,U.S. Department of Agriculture,The Gulf States (Louisiana, Mississippi, Alabama, Florida, and Texas)",6,"The Deepwater Horizon (DWH) MC252 oil spill, which began on April 20, 2010, following an explosion on the DWH mobile drilling unit and continued for 87 days.","Trustees conducted extensive studies and sampling to determine and quantify injuries to a wide variety of natural resources, including marine mammals, sea turtles, birds, fish, oysters, submerged aquatic vegetation, wetlands, and beaches.",Observed injuries included: mortality and sublethal effects on marine mammals and sea turtles; bird mortality; fish mortality and reduced growth; oyster mortality; loss of submerged aquatic vegetation and wetlands; and tarring of beaches.,,
Oregon/Washington Coast Mystery Spill,Assessment,S99028-OI01,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/S99028-OI01%20Recon%20NR%20Paid.pdf,2016/07/14,"BP Exploration & Production, Inc. (BP)",Approximately 4.9 million barrels of oil,"U.S. Department of the Interior (DOI), National Oceanic and Atmospheric Administration (NOAA), U.S. Environmental Protection Agency (EPA), U.S. Department of Agriculture (USDA), and the Gulf States","Variable, composed of members from DOI, NOAA, EPA, USDA, and the five Gulf States (Florida, Alabama, Mississippi, Louisiana, and Texas)","The Deepwater Horizon (DWH) oil spill, initiated by an explosion on the Deepwater Horizon mobile drilling unit on April 20, 2010, resulting in a release of oil into the Gulf of Mexico.",Injury determination and quantification involves assessing the harm caused by the oil spill to natural resources and the services they provide. This includes using scientific studies and models to estimate the extent of injury and lost resource services.,"The oil spill caused a wide range of biological effects, including harm to marine mammals, birds, sea turtles, fish, shellfish, and deep-sea benthic communities. These effects ranged from direct mortality to sublethal impacts on growth, reproduction, and immune function.",,
"Texas Trustee Claim, 14 Different Incidents",Assessment,Texas-Galveston Bay,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/Texas-Galveston%20Bay_Redacted.pdf,2008/08/18,"BP Exploration & Production, Inc. (BP)",Approximately 4.9 million barrels of oil,"U.S. Department of the Interior,National Oceanic and Atmospheric Administration,U.S. Environmental Protection Agency,U.S. Department of Agriculture,The State of Louisiana,The State of Mississippi,The State of Alabama,The State of Florida,The State of Texas",9,The Deepwater Horizon (DWH) oil spill was the result of the explosion and subsequent sinking of the DWH mobile offshore drilling unit in April 2010.,"The Trustees conducted extensive field and laboratory studies to determine the nature and extent of injuries to natural resources that resulted from the DWH oil spill. These studies examined a wide range of resources, including wetlands, coastal beaches, offshore waters and nearshore waters, submerged aquatic vegetation, oysters, benthic communities, marine mammals, sea turtles, and birds.",Observed injuries include: Mortality; Reduced Growth; Reproductive Impairment; Habitat Loss and Degradation,Undetermined from this text,
Tug Powhatan,Assessment and Restoration,J17008-OC02,https://www.uscg.mil/Portals/0/NPFC/Claims/NRD/Powhatan_Determination_marked_redactions_Redacted.pdf?ver=RLVDti4cReQz_breCPRUaA%3d%3d,2022/11/07,Samson Tug & Barge,"Unknown volume of diesel fuel, gasoline, fuel residues, and lubricating oils","National Oceanic and Atmospheric Administration (NOAA),U.S. Fish and Wildlife Service,Alaska Department of Fish and Game,Alaska Department of Law,Alaska Department of Environmental Conservation",5,"On April 19, 2017, an out of service tugboat, the Powhatan, owned by Samson Tug & Barge sank from its dock in Starrigavan Bay near Sitka, Alaska. After sinking, the tug slid downslope and came to rest approximately 330 meters offshore in approximately 60 meters of water. The Powhatan contained an unknown volume of diesel fuel, gasoline, fuel residues, and lubricating oils. Shortly after sinking visible oil sheens were observed in Starrigavan Bay and Sitka Sound. Subsequent diver inspections confirmed an ongoing discharge from the vessel and identified numerous places in the vessel where oil escaped. The two main fuel vents were capped on April 25, 2017, and the source was controlled when the Powhatan was removed from the water on June 12, 2017.",NOAA determined that the natural resource injury quantification for the incident was best represented by two types of losses: (1) direct loss (death) of Pacific herring eggs and larvae in Sitka Sound; and (2) the lost use of the public shellfishery at Starrigavan Beach. NOAA’s assessment procedures to calculate these losses and the associated damages relied heavily on data modeling.,"Approximately 25.4 billion Pacific herring egg-equivalents were killed due to exposure from oil discharged from the tug Powhatan. Lost recreational use of the shellfishery, NOAA estimated that 833 recreational shellfishing trips, for a total value of $36,914 were lost at Starrigavan Beach due to the oil spill.","$0.00 (The NPFC previously determined that the RP and their insurer were entitled to the tug Powhatan’s statutory limitation of liability of $989,800 and had no further liability for removal costs and damages.)",
T/B DBL152,Assessment and Restoration,N06008,https://www.uscg.mil/Portals/0/NPFC/Claims/NRD/N06008-OC01_DBL_152_Recon_Determination_for_posting.pdf?ver=5MdEL2O4kI9Ptk8RWgpwGA%3d%3d&timestamp=1626898232241,2021/02/08,K-Sea Operating Partnership LP,"45,846 barrels",National Oceanic and Atmospheric Administration (NOAA),1,"On November 11, 2005, the double-hulled Tank Barge DBL 152 struck the submerged remains of a pipeline service platform approximately 32 miles south of Calcasieu Pass, Louisiana. The cargo and ballast tanks of the barge, which carried approximately 119,000 barrels of #6 fuel oil, were punctured by the allision, and the barge began taking on water and discharging oil.","NOAA conducted a natural resource damage assessment (NRDA) to determine the nature and extent of injuries resulting from the spill. Through their assessment efforts, NOAA estimated that the equivalent of 450 acres of offshore benthic habitat suffered 100% service loss for two years before onset of recovery as a result of oil discharged from the incident.  They employed the Habitat Equivalency Analysis (HEA), to quantify the injury and scale of restoration needed to compensate for the injury.","Injury to benthic invertebrates and potential injuries to demersal fishes, pelagic fishes, and marine mammals resulted from the released oil from smothering and coating of benthic resources and ingestion by animals that feed on benthic resources and demersal fishes in the affected area.","The NPFC determined that the RP and their guarantor were entitled to DBL 152’s statutory limitation of liability of $11,689,200 and had no further liability for removal costs and damages. NOAA received $4,839,407.50 from the OSLTF (Oil Spill Liability Trust Fund)",
SS Luckenbach,Assessment and Restoration,A02005-OI2,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/A02005-OI2%20NR%20Paid_Redacted.pdf,2010/01/04,BP Exploration & Production Inc. (BP),Approximately 3.19 million barrels of oil,"U.S. Department of the Interior; National Oceanic and Atmospheric Administration; U.S. Environmental Protection Agency; U.S. Department of Agriculture; and the States of Alabama, Florida, Louisiana, Mississippi, and Texas",12,The Deepwater Horizon (DWH) oil spill occurred following the explosion and subsequent sinking of the DWH mobile offshore drilling unit in April 2010. This incident resulted in a massive release of oil into the Gulf of Mexico.,Trustees conducted studies to determine the extent of injuries to natural resources resulting from the spill. These studies involved: (1) identifying the natural resources and ecological services potentially affected by the DWH oil spill; (2) determining the nature and extent of injuries resulting from the spill; and (3) quantifying the degree and spatial extent of such injuries.,"Injuries to a wide range of resources have been observed. Including: submerged aquatic vegetation (SAV), oysters, benthic invertebrate communities, sea turtles, marine mammals, and birds.","$14,163,120.23",
M/V Selendang Ayu,Assessment and Restoration,J05003-OI03,https://www.uscg.mil/Portals/0/NPFC/Claims/NRD/J05003-OI03%20NR%20Paid_redacted.pdf?ver=2017-11-27-092914-907,2017/11/27,BP Exploration & Production Inc.,approximately 4.9 million barrels of oil,"U.S. Department of the Interior,National Oceanic and Atmospheric Administration,U.S. Environmental Protection Agency,U.S. Department of Agriculture,State of Louisiana,State of Mississippi,State of Alabama,State of Florida,State of Texas",9,"The Deepwater Horizon (DWH) oil spill, resulting from the Macondo well blowout on April 20, 2010, released approximately 4.9 million barrels of oil into the Gulf of Mexico.","Trustees conducted extensive studies and data collection to determine and quantify injuries to natural resources caused by the spill. This included assessing impacts on various habitats, species, and ecological services.","Observed impacts on a wide range of species including marine mammals (dolphins), sea turtles, birds, fish, and benthic organisms.",,
Athos I,Assessment and Restoration,P05005-OC1,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/P05005-OC1%20NR_Redacted.pdf,2010/10/05,BP Exploration & Production Inc (BP),approximately 4.9 million barrels of oil,"U.S. Department of Commerce, National Oceanic and Atmospheric Administration,U.S. Department of the Interior,U.S. Environmental Protection Agency,U.S. Department of Agriculture,the States of Alabama,Florida,Louisiana,Mississippi,Texas",9,"On April 20, 2010, the Deepwater Horizon (DWH) mobile drilling unit experienced a blowout and explosion in the Macondo well, resulting in a release of approximately 4.9 million barrels of oil into the Gulf of Mexico","The Trustees conducted extensive studies to determine and quantify injuries to natural resources resulting from the Spill. These studies documented injuries to a wide array of natural resources, including: submerged aquatic vegetation (SAV); oysters; estuarine fish and wildlife; marine mammals; marine fish; sea turtles; birds; and deep sea benthic communities.","Injuries to a wide array of natural resources, including: submerged aquatic vegetation (SAV); oysters; estuarine fish and wildlife; marine mammals; marine fish; sea turtles; birds; and deep sea benthic communities.",,
Tug Powhatan,Assessment and Restoration,J17008-OC02,https://www.uscg.mil/Portals/0/NPFC/Claims/NRD/J17008-OC02.pdf,2023/03/17,Tug Powhatan Oil Spill,Not specified in this document,National Oceanic and Atmospheric Administration (NOAA),1,Tug Powhatan Oil Spill Natural Resource Damages (NRD) Assessment and Restoration Costs,"Pacific herring mortality resulting from direct oil exposure and the public’s lost use of the shellfishery resulting from seafood safety warnings issued by public health officials. NOAA used a combination of response data, site specific resource data, and data from established literature to model the estimated magnitude of injury to both Pacific herring and the public’s use of the shellfishery.",Pacific herring mortality,"$1,328,511.77",
LPV Venezia Mona Island Emergency Restoration,Restoration,UCGPM23039-OC04,https://www.uscg.mil/Portals/0/NPFC/Claims/NRD/UCGPM23039-OC04-LPV%20Venezia%20Mona%20Island%20Emergency%20Restoration.pdf?ver=CHVLsx8MT01YVuLKgUs6zw%3d%3d,2023/10/19,No responsible party (RP) has been identified for this incident,Concerning quantity of oil remaining on the vessel,"National Oceanic and Atmospheric Administration (NOAA),U.S. Fish and Wildlife Service (FWS),PRDNER",3,"Discharge of oil, and substantial threat of discharge, from the LPV Venezia, a vessel, into the Caribbean Sea, a navigable waterway, on or about August 31, 2023.",This is a claim for Emergency Restoration precedes completion of the assessment.,"Threat to nesting critically endangered hawksbill and threatened green sea turtles, their eggs and hatchlings; threatened coral in the nearshore; and other onshore and nearshore species.",,
Pryor Oil,Restoration,E02414-OI2,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/E02414-OI2-%20NR%20Paid_Redacted.pdf,2009/10/28,"Bouchard Transportation Company, Inc. (BTC)","approximately 100 barrels (4,200 gallons)","U.S. Department of the Interior (DOI),U.S. Fish and Wildlife Service (USFWS),National Oceanic and Atmospheric Administration (NOAA)",3,"On April 27, 2003, the tank barge BTC No. 105 (Barge) grounded on Nashawena Island, Massachusetts, releasing approximately 100 barrels (4,200 gallons) of No. 6 fuel oil into Buzzards Bay.","The Trustees assessed injuries to a variety of natural resources, including injury to birds based on field observations of oiled birds, application of an oil exposure model, and incorporation of best available information for oil toxicity. The Trustees also considered injuries to benthic invertebrates due to oiling of sediments, lost recreational uses, and response costs.",Injuries to birds and benthic invertebrates due to oiling of sediments.,undisclosed in the text,
Rogue River,Restoration,G02AAA-OI02,https://www.uscg.mil/Portals/0/NPFC/Claims/NRD/G02AAA-OI02%20Rouge%20Restoration%20Decision%20on%20Reconsideration%20FINAL%20for%20Signature%20REDACTED_Redacted.pdf?ver=2019-11-19-143716-807,2019/09/03,No responsible party (RP) was identified,"339,810 gallons of a 1:1 mixture of diesel fuel oil and waste lubricating oil",Department of the Interior (DOI) and the State of Michigan,2,"Following heavy rain events on April 9 and April 12, 2002 apparent discharges of mixed diesel and lube waste oil were observed in the River Rouge (henceforth called the Rouge River), a tributary to the Detroit River in Detroit, Michigan. There were two separate discharges of the mixture, however the boom installed in the Rouge River following the first discharge largely contained the second discharge. The first discharge resulted in oiling along approximately 17 miles of the Rouge River, the Detroit River, and western Lake Erie.","The Trustees assessed injuries to birds, muskrats, reptiles and amphibians, fish, and marsh habitat. The Trustees determined that natural recovery was sufficient to restore resources to baseline levels, and chose to limit their Claim to compensatory damages for interim losses. The interim loss was characterized in terms of direct mortality and foregone productivity of the various resource categories. The Trustees used the Spill Impact Model Analysis Package (SIMAP) to model the direct mortality and foregone productions for each resource category and convert those losses to the amount of food (marsh biomass) required to replace the lost production.","Impact on birds, muskrats, reptiles and amphibians, fish, and marsh habitat; 110 birds observed dead, oiled and rehabilitated, or observed oiled but not captured; one dead and two rehabilitated turtles observed.",0,
T/V Margara,Restoration,M06017-OC01,https://www.uscg.mil/Portals/0/NPFC/Claims/NRD/M06017-OC01.pdf?ver=2019-09-09-113202-653,2019/02/08,"Ernst Jacob (GMbh & Co. KG) (ErnstJacob), operator of the T/V Margara. Shipowners Insurance & Guaranty Company, Ltd. (SIGCo) was subsequently identified as the RP’s guarantor.",None,National Oceanic and Atmospheric Administration (NOAA) and the Puerto Rico Department of Natural and Environmental Resources (PRDNER),2,"On April 27, 2006, the T/V Margara grounded three miles off the coast of Tallaboa, Puerto Rico while awaiting a pilot. The vessel, carrying approximately 315,693 barrels of No. 6 fuel oil, grounded in an area of dense coral reefs.","Following the incident, the Trustees conducted surveys using divers and GPS technology to map the area of impact. In November 2006 they pursued a more thorough survey approach that utilized boat-mounted SONAR. Survey results were later updated in 2007 by post-Hurricane Dean observations from a joint RP/Trustee diving trip. An area of 1,662 meters² of rubble where primary restoration was needed was quantified. Monitoring efforts indicated that the survival of coral recruits in rubble areas was drastically lower than in reference sites and that coral recovery is not occurring in rubble areas. From 2008 to 2012 the Trustees monitored the recruitment and survival of corals to determine whether coral recovery was occurring in the response-caused rubble areas.","The removal activities resulted in dislodged, broken and buried coral resources, along with fractured reef foundation that caused large amounts of coral rubble. The Trustees estimated that approximately 7,541 meters² of impacted coral reef were associated with the incident, including the loss of 54,623 hard corals and 112,151 soft corals for a total of 166,774 corals lost.","$4,403,590.98 (settlement offer) + $794,183.46 (potential contingency)",
M/V Jireh,Restoration,M12037-OC02,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/M12037-OC02%20NR%20Paid_Redacted.pdf,2012/12/18,No responsible party has been identified for this incident,The vessel presented a substantial threat of oil discharge,National Oceanic Atmospheric Administration (NOAA) and the Puerto Rico Department of Natural and Environmental Resources (PRDNER),2,"On June 21, 2012, the coastal freighter M/V Jireh ran aground on the south shore of Mona Island, located 40 miles west of the main island of Puerto Rico. The vessel grounded on a rocky shoreline within a designated natural reserve with known coral reef habitat. During response efforts, the USCG used anchors and tow lines to stabilize the M/V Jireh and secure platforms for the salvage operation. These cables and anchors dislodged, damaged, and broke an estimated 950 corals, including 12 colonies of Elkhorn coral (a federally threatened species).","The cables and anchors dislodged, damaged, and broke an estimated 950 corals, including 12 colonies of Elkhorn coral (a federally threatened species). The trustees temporarily righted and stabilized these corals during the response activities to destroy the vessel.","Damaged and broke an estimated 950 corals, including 12 colonies of Elkhorn coral (a federally threatened species).","$201,587.50",
New Carissa,Restoration,S99018-OI1,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/S99018-OI1%20NR_Redacted.pdf,2007/01/24,"BP Exploration and Production, Inc. (BP)",approximately 3.19 million barrels of oil,"The Trustees are comprised of representatives from the federal government (National Oceanic and Atmospheric Administration (NOAA), U.S. Department of the Interior (DOI), U.S. Environmental Protection Agency (EPA), U.S. Department of Agriculture (USDA)) and the Gulf States (Florida, Alabama, Mississippi, Louisiana, and Texas).",Several - representatives from multiple agencies and states,The Deepwater Horizon (DWH) oil spill was the result of the explosion and subsequent sinking of the mobile offshore drilling unit DWH in April 2010.,"The Trustees conducted extensive studies to determine the type, degree, and spatial and temporal extent of injuries resulting from the DWH oil spill.","These studies documented injuries to a wide variety of natural resources, including: coastal wetlands; submerged aquatic vegetation; oysters; benthic communities; marine mammals; sea turtles; birds; and fish and other aquatic life.",Not specified in provided text.,
New Carissa,Restoration,S99018-OI2,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/S99018-OI2%20Recon%20NR_Redacted.pdf,2009/08/26,M/V Cape Flattery,"Approximately 21,000 gallons of intermediate fuel oil (IFO 180)","National Oceanic and Atmospheric Administration (NOAA), U.S. Department of the Interior (DOI), represented by the U.S. Fish and Wildlife Service (USFWS), and the Washington Department of Ecology (Ecology)",4,"On March 10, 2007, the M/V Cape Flattery released approximately 21,000 gallons of intermediate fuel oil (IFO 180) into the waters of Puget Sound near Port Angeles, Washington, after the vessel struck a submerged object.","Trustees conducted studies and assessments to determine the nature and extent of injuries to natural resources. These assessments included evaluations of injury to seabirds, marine mammals, and intertidal habitats due to oiling.","The oil spill resulted in injury to seabirds (primarily surf scoters), marine mammals (harbor seals), and intertidal habitats.",Unknown,
F/V Deep Sea,Restoration,S12020-WA02,https://www.uscg.mil/Portals/0/NPFC/Claims/NRD/S12020-WA02%20NR%20Paid.pdf?ver=2018-06-07-095708-743,2018/04/29,"Owner of the F/V Deep Sea, (b) (6), (b) (4)","Approximately 5,500 gallons of diesel, hydraulic, and lube oils",Washington Department of Fish and Wildlife (WDFW),"Not explicitly stated, but WDFW is acting as the trustee.","On May 12, 2012, the former commercial fishing vessel, Deep Sea, anchored in Penn Cove, Whidbey Island, Washington, burned and sank, resulting in the discharge of approximately 5,500 gallons of diesel, hydraulic, and lube oils into Penn Cove","The Washington State DOH closed the recreational shellfishery in Penn Cove on May 14, 2012 in response to visible oil sheen resulting from the discharge from the F/V Deep Sea. Based on the results of the DOH enforced beach closures and the status of beaches for shellfish harvest just prior to and following reopening, it was determined that San de Fuca, West Penn Cove, and Long Point were each closed for 22 days due to potential oil contamination while Madrona beach was closed for 38 days. The southern part of West Penn Cove beach also remained closed until June 22, 2012 (38 days). Harvester data was modeled based on beach user data from 2010 and 2011, resulting in a total of 1,995.55 user days.",Closure of recreational and commercial shellfisheries in Penn Cove due to the presence of visible oil sheens in the area and potential contamination.,"$97,722 (Amount offered by NPFC)",
